course,plannedNumberOfStudents,seniorHours,assistantHours
I-8580,150,260,480
I-8581,150,260,420
I-8582,200,280,300
I-8583,100,280,560
I-8584,60,240,420
I-8585,100,260,700
I-8586,150,280,360
I-8587,150,260,500
I-8588,150,280,480
I-8589,150,280,300
I-8590,200,260,500
I-8591,150,280,500
I-8592,60,280,480
I-8593,200,240,700
I-8594,60,240,500
I-8595,200,240,360
I-8596,60,260,600
I-8597,60,280,300
I-8598,100,240,700
I-8599,200,280,600
I-8600,200,260,400
I-8601,150,260,420
I-8602,200,240,600
I-8603,150,260,700
I-8604,150,260,700
I-8605,200,240,600
I-8606,60,280,700
I-8607,100,240,500
I-8608,150,280,420
I-8609,150,260,420
I-8610,150,280,560
I-8611,150,240,480
I-8612,60,240,300
I-8613,60,240,480
I-8614,200,240,300
I-8615,60,260,700
I-8616,150,260,600
I-8617,150,280,560
I-8618,60,240,560
I-8619,60,260,700
I-8620,150,240,480
I-8621,200,260,600
I-8622,60,260,300
I-8623,150,240,300
I-8624,100,280,420
I-8625,60,240,360
I-8626,200,240,600
I-8627,200,260,420
I-8628,60,280,560
I-8629,150,280,360
I-8630,100,240,360
I-8631,60,260,400
I-8632,200,280,480
I-8633,100,280,420
I-8634,60,280,300
I-8635,100,240,560
I-8636,100,280,600
I-8637,100,240,360
I-8638,150,280,480
I-8639,150,280,560
I-8640,100,280,300
I-8641,150,240,560
I-8642,100,240,420
I-8643,60,260,300
I-8644,60,260,480
I-8645,200,240,480
I-8646,200,260,700
I-8647,200,240,700
I-8648,60,240,420
I-8649,200,280,360
I-8650,100,260,360
I-8651,150,240,600
I-8652,60,280,600
I-8653,100,240,400
I-8654,60,240,700
I-8655,150,260,560
I-8656,100,280,480
I-8657,60,280,500
I-8658,100,260,420
I-8659,60,260,300
I-8660,60,280,700
I-8661,60,280,700
I-8662,60,240,420
I-8663,200,280,480
I-8664,200,260,560
I-8665,200,240,300
I-8666,150,280,600
I-8667,60,240,700
I-8668,100,260,700
I-8669,150,280,400
I-8670,150,260,500
I-8671,60,240,560
I-8672,60,260,400
I-8673,100,260,400
I-8674,100,280,500
I-8675,200,260,300
I-8676,150,240,400
I-8677,200,240,560
I-8678,150,260,700
I-8679,60,240,360
I-8680,200,280,700
I-8681,200,260,600
I-8682,150,240,480
I-8683,200,280,300
I-8684,150,240,700
I-8685,60,280,420
I-8686,100,260,600
I-8687,60,280,400
I-8688,100,260,600
I-8689,60,240,500
I-8690,60,240,500
I-8691,100,240,360
I-8692,60,260,600
I-8693,100,280,420
I-8694,60,240,360
I-8695,200,260,300
I-8696,100,260,600
I-8697,150,280,360
I-8698,200,260,500
I-8699,60,260,400
I-8700,100,280,600
I-8701,100,280,700
I-8702,150,280,420
I-8703,60,260,500
I-8704,100,280,600
I-8705,100,260,400
I-8706,100,260,360
I-8707,150,260,700
I-8708,200,260,480
I-8709,200,280,400
I-8710,100,240,360
I-8711,150,260,420
I-8712,150,240,500
I-8713,100,260,420
I-8714,100,260,480
I-8715,100,280,420
I-8716,200,240,700
I-8717,150,260,400
I-8718,100,280,700
I-8719,150,240,600
I-8720,200,240,400
I-8721,100,260,700
I-8722,60,240,360
I-8723,150,280,300
I-8724,60,280,360
I-8725,150,280,300
I-8726,60,260,560
I-8727,100,280,400
I-8728,100,260,560
I-8729,200,240,400
I-8730,100,260,600
I-8731,100,280,560
I-8732,200,260,560
I-8733,100,260,420
I-8734,150,280,600
I-8735,100,240,360
I-8736,200,260,400
I-8737,100,260,360
I-8738,60,240,600
I-8739,150,260,360
I-8740,150,240,480
I-8741,200,280,400
I-8742,60,240,360
I-8743,150,260,300
I-8744,100,280,300
I-8745,200,280,500
I-8746,150,240,400
I-8747,200,260,420
I-8748,100,280,480
I-8749,100,260,420
I-8750,200,280,300
I-8751,60,280,600
I-8752,200,280,500
I-8753,60,260,500
I-8754,100,260,600
I-8755,200,240,300
I-8756,150,240,600
I-8757,100,260,400
I-8758,200,240,500
I-8759,60,240,300
I-8760,150,240,420
I-8761,200,280,500
I-8762,200,280,300
I-8763,100,280,360
I-8764,100,280,500
I-8765,150,240,600
I-8766,100,260,560
I-8767,150,240,700
I-8768,150,280,500
I-8769,150,280,560
I-8770,150,280,300
I-8771,100,260,500
I-8772,150,260,700
I-8773,60,240,480
I-8774,200,240,560
I-8775,100,260,400
I-8776,100,240,360
I-8777,100,240,360
I-8778,150,260,400
I-8779,150,260,560
I-8780,150,260,560
I-8781,150,240,360
I-8782,200,280,400
I-8783,100,280,360
I-8784,200,260,360
I-8785,60,240,700
I-8786,150,260,600
I-8787,60,240,400
I-8788,200,240,560
I-8789,200,260,600
I-8790,200,280,500
I-8791,150,280,480
I-8792,100,260,480
I-8793,60,260,300
I-8794,60,260,400
I-8795,60,280,560
I-8796,150,280,560
I-8797,150,260,480
I-8798,100,240,500
I-8799,200,280,300
I-8800,60,260,400
I-8801,150,240,600
I-8802,150,240,560
I-8803,200,240,420
I-8804,60,260,420
I-8805,60,260,500
I-8806,200,260,400
I-8807,150,260,420
I-8808,150,280,500
I-8809,200,240,400
I-8810,200,240,600
I-8811,200,240,400
I-8812,150,260,360
I-8813,100,260,400
I-8814,60,240,480
I-8815,200,260,400
I-8816,100,240,700
I-8817,100,260,360
I-8818,60,280,420
I-8819,150,260,300
I-8820,60,240,600
I-8821,100,240,500
I-8822,150,240,360
I-8823,100,280,700
I-8824,200,260,480
I-8825,60,280,700
I-8826,60,240,500
I-8827,60,280,480
I-8828,200,240,560
I-8829,200,260,400
I-8830,150,240,500
I-8831,100,260,560
I-8832,100,260,500
I-8833,100,280,400
I-8834,200,280,400
I-8835,200,240,360
I-8836,200,260,420
I-8837,200,240,300
I-8838,100,260,360
I-8839,150,260,300
I-8840,100,280,360
I-8841,60,280,480
I-8842,60,260,560
I-8843,150,240,400
I-8844,150,260,500
I-8845,200,240,300
I-8846,200,260,360
I-8847,60,240,300
I-8848,200,240,700
I-8849,200,260,700
I-8850,60,240,480
I-8851,60,260,500
I-8852,100,240,700
I-8853,60,240,500
I-8854,150,240,420
I-8855,200,240,400
I-8856,150,260,500
I-8857,60,280,560
I-8858,60,260,560
I-8859,200,240,500
I-8860,200,260,420
I-8861,60,280,700
I-8862,200,280,560
I-8863,150,240,360
I-8864,60,260,560
I-8865,100,240,420
I-8866,200,280,400
I-8867,100,240,360
I-8868,60,280,700
I-8869,100,240,500
I-8870,60,240,300
I-8871,100,240,560
I-8872,150,280,360
I-8873,150,240,600
I-8874,60,240,560
I-8875,200,240,300
I-8876,100,240,500
I-8877,150,260,600
I-8878,200,240,700
I-8879,200,260,560
I-8880,200,280,360
I-8881,200,240,420
I-8882,150,280,700
I-8883,200,240,300
I-8884,60,280,480
I-8885,60,280,600
I-8886,60,240,500
I-8887,100,280,600
I-8888,150,280,400
I-8889,150,240,300
I-8890,100,260,400
I-8891,150,260,400
I-8892,200,280,300
I-8893,60,240,600
I-8894,150,240,360
I-8895,100,240,300
I-8896,100,280,600
I-8897,60,260,560
I-8898,150,240,480
I-8899,100,240,560
I-8900,100,260,300
I-8901,100,280,360
I-8902,150,260,500
I-8903,100,280,420
I-8904,60,240,560
I-8905,150,280,300
I-8906,100,240,560
I-8907,200,260,560
I-8908,200,240,420
I-8909,100,260,360
I-8910,100,240,420
I-8911,60,240,700
I-8912,150,240,600
I-8913,200,260,300
I-8914,150,280,480
I-8915,200,240,300
I-8916,60,260,500
I-8917,100,280,600
I-8918,60,260,500
I-8919,200,260,300
I-8920,150,280,360
I-8921,150,240,600
I-8922,200,240,420
I-8923,100,260,560
I-8924,150,260,600
I-8925,200,280,360
I-8926,100,240,360
I-8927,150,240,560
I-8928,200,240,300
I-8929,200,240,560
I-8930,60,280,360
I-8931,150,260,480
I-8932,200,240,600
I-8933,200,280,480
I-8934,150,240,700
I-8935,200,280,560
I-8936,100,280,600
I-8937,100,240,420
I-8938,200,260,700
I-8939,200,280,420
I-8940,150,260,560
I-8941,60,280,500
I-8942,60,260,600
I-8943,100,260,480
I-8944,100,240,600
I-8945,100,240,400
I-8946,100,240,500
I-8947,60,260,700
I-8948,150,280,600
I-8949,100,260,420
I-8950,100,260,300
I-8951,150,280,500
I-8952,100,240,400
I-8953,150,280,700
I-8954,60,260,480
I-8955,100,280,360
I-8956,200,260,360
I-8957,100,260,300
I-8958,150,260,480
I-8959,100,280,560
I-8960,150,260,400
I-8961,200,280,300
I-8962,200,240,300
I-8963,100,280,420
I-8964,200,280,360
I-8965,100,240,700
I-8966,150,240,300
I-8967,60,280,600
I-8968,60,240,560
I-8969,100,260,420
I-8970,60,240,400
I-8971,150,240,500
I-8972,100,260,500
I-8973,150,240,700
I-8974,60,240,500
I-8975,100,280,480
I-8976,200,240,420
I-8977,200,280,500
I-8978,150,280,700
I-8979,100,280,500
I-8980,200,280,480
I-8981,150,280,700
I-8982,200,260,400
I-8983,100,240,700
I-8984,150,240,560
I-8985,100,280,560
I-8986,150,240,360
I-8987,200,240,300
I-8988,150,280,700
I-8989,150,240,300
I-8990,200,240,500
I-8991,100,240,400
I-8992,100,260,500
I-8993,60,260,300
I-8994,200,260,420
I-8995,200,240,420
I-8996,150,240,700
I-8997,60,240,360
I-8998,60,240,700
I-8999,100,280,480
I-9000,100,260,480
I-9001,150,240,400
I-9002,200,280,420
I-9003,150,260,300
I-9004,150,280,300
I-9005,100,240,560
I-9006,100,260,560
I-9007,60,260,360
I-9008,200,280,400
I-9009,150,240,500
I-9010,150,240,500
I-9011,150,280,480
I-9012,60,280,500
I-9013,200,280,700
I-9014,60,240,480
I-9015,200,260,600
I-9016,200,240,400
I-9017,100,240,560
I-9018,150,240,400
I-9019,150,280,480
I-9020,60,260,300
I-9021,200,240,560
I-9022,100,260,360
I-9023,150,240,400
I-9024,100,280,600
I-9025,60,240,300
I-9026,200,240,360
I-9027,150,260,700
I-9028,100,260,420
I-9029,60,240,560
I-9030,100,280,560
I-9031,100,240,420
I-9032,100,280,600
I-9033,100,260,420
I-9034,150,280,300
I-9035,60,280,560
I-9036,60,280,560
I-9037,100,240,500
I-9038,60,260,300
I-9039,150,280,400
I-9040,200,280,400
I-9041,150,240,700
I-9042,200,240,600
I-9043,100,260,700
I-9044,100,260,700
I-9045,100,280,300
I-9046,60,240,400
I-9047,100,240,700
I-9048,60,240,300
I-9049,100,240,300
I-9050,200,260,360
I-9051,60,240,500
I-9052,200,260,400
I-9053,100,240,300
I-9054,150,240,420
I-9055,150,260,360
I-9056,200,260,300
I-9057,150,280,300
I-9058,100,260,480
I-9059,100,280,560
I-9060,100,280,420
I-9061,100,240,500
I-9062,100,240,600
I-9063,100,260,420
I-9064,200,280,360
I-9065,200,260,480
I-9066,100,240,300
I-9067,200,240,600
I-9068,60,280,600
I-9069,100,260,480
I-9070,100,240,700
I-9071,100,280,300
I-9072,200,280,480
I-9073,150,280,480
I-9074,60,260,700
I-9075,150,260,500
I-9076,150,260,480
I-9077,60,240,500
I-9078,100,240,560
I-9079,100,240,480
I-9080,150,260,420
I-9081,150,280,300
I-9082,60,280,600
I-9083,150,240,600
I-9084,200,260,420
I-9085,60,260,600
I-9086,200,260,420
I-9087,100,260,480
I-9088,100,240,300
I-9089,100,240,360
I-9090,150,260,480
I-9091,60,280,300
I-9092,60,260,300
I-9093,200,280,420
I-9094,60,280,500
I-9095,60,260,600
I-9096,150,280,400
I-9097,150,240,480
I-9098,100,260,360
I-9099,150,260,700
I-9100,60,280,560
I-9101,200,260,360
I-9102,150,240,360
I-9103,100,240,300
I-9104,100,240,420
I-9105,60,260,360
I-9106,150,260,480
I-9107,100,260,600
I-9108,200,240,700
I-9109,60,260,360
I-9110,200,280,500
I-9111,100,240,480
I-9112,60,260,420
I-9113,100,240,600
I-9114,150,240,360
I-9115,150,280,300
I-9116,150,260,300
I-9117,150,240,600
I-9118,100,240,700
I-9119,150,240,480
I-9120,100,240,420
I-9121,200,280,700
I-9122,100,260,420
I-9123,150,260,500
I-9124,60,280,500
I-9125,150,260,560
I-9126,200,260,300
I-9127,60,260,420
I-9128,100,280,480
I-9129,60,240,360
I-9130,150,240,600
I-9131,200,280,300
I-9132,100,240,560
I-9133,150,280,480
I-9134,150,260,600
I-9135,200,240,560
I-9136,60,260,400
I-9137,150,280,480
I-9138,200,280,420
I-9139,200,240,360
I-9140,150,280,700
I-9141,100,240,700
I-9142,200,240,560
I-9143,200,260,360
I-9144,60,280,420
I-9145,150,280,300
I-9146,100,240,360
I-9147,200,260,700
I-9148,100,240,480
I-9149,200,240,700
I-9150,60,280,700
I-9151,150,280,480
I-9152,60,280,360
I-9153,150,280,500
I-9154,150,280,500
I-9155,150,280,420
I-9156,100,280,420
I-9157,200,280,600
I-9158,100,280,300
I-9159,200,240,600
I-9160,60,260,420
I-9161,150,260,700
I-9162,60,280,600
I-9163,150,280,420
I-9164,100,240,300
I-9165,100,260,360
I-9166,100,260,700
I-9167,200,280,420
I-9168,200,280,600
I-9169,150,260,400
I-9170,60,240,400
I-9171,200,260,480
I-9172,100,240,400
I-9173,60,260,700
I-9174,200,280,600
I-9175,200,260,360
I-9176,150,240,500
I-9177,100,240,420
I-9178,60,240,500
I-9179,100,260,300
I-9180,150,260,360
I-9181,60,240,500
I-9182,60,240,560
I-9183,100,240,300
I-9184,60,240,560
I-9185,200,240,600
I-9186,150,240,420
I-9187,100,260,420
I-9188,60,240,360
I-9189,150,260,600
I-9190,150,280,560
I-9191,60,240,360
I-9192,200,260,300
I-9193,100,280,600
I-9194,100,260,560
I-9195,200,280,500
I-9196,60,280,600
I-9197,60,240,300
I-9198,100,260,600
I-9199,150,280,600
I-9200,150,240,420
I-9201,100,260,360
I-9202,60,240,420
I-9203,200,280,500
I-9204,100,260,480
I-9205,200,280,700
I-9206,100,240,300
I-9207,200,280,700
I-9208,200,280,600
I-9209,60,280,400
I-9210,150,280,420
I-9211,60,280,480
I-9212,150,260,480
I-9213,150,280,600
I-9214,200,280,560
I-9215,150,280,420
I-9216,200,280,500
I-9217,60,240,700
I-9218,150,260,700
I-9219,100,260,700
I-9220,200,260,360
I-9221,150,240,360
I-9222,60,280,600
I-9223,200,240,560
I-9224,150,240,600
I-9225,150,280,500
I-9226,200,240,700
I-9227,150,240,420
I-9228,60,240,480
I-9229,200,260,480
I-9230,200,240,360
I-9231,60,260,400
I-9232,200,240,560
I-9233,60,260,600
I-9234,200,260,700
I-9235,200,240,400
I-9236,100,280,300
I-9237,150,240,700
I-9238,60,240,300
I-9239,200,240,300
I-9240,150,240,300
I-9241,60,240,400
I-9242,150,260,420
I-9243,100,260,560
I-9244,150,280,600
I-9245,100,240,600
I-9246,100,260,560
I-9247,150,240,400
I-9248,100,240,300
I-9249,200,260,560
I-9250,100,240,360
I-9251,200,260,600
I-9252,200,280,300
I-9253,200,260,480
I-9254,100,280,500
I-9255,60,260,560
I-9256,150,280,400
I-9257,100,280,400
I-9258,200,240,560
I-9259,60,260,500
I-9260,100,260,400
I-9261,150,280,600
I-9262,200,240,600
I-9263,150,260,560
I-9264,100,260,500
I-9265,150,260,600
I-9266,60,260,700
I-9267,60,280,600
I-9268,150,260,480
I-9269,150,240,480
I-9270,100,280,360
I-9271,200,260,700
I-9272,150,240,400
I-9273,100,280,420
I-9274,200,260,700
I-9275,200,240,420
I-9276,150,280,400
I-9277,100,240,560
I-9278,60,280,700
I-9279,100,240,600
I-9280,200,260,560
I-9281,100,280,600
I-9282,200,280,400
I-9283,100,240,480
I-9284,100,280,480
I-9285,100,260,560
I-9286,60,280,500
I-9287,60,260,420
I-9288,100,260,700
I-9289,150,280,480
I-9290,200,240,560
I-9291,60,240,500
I-9292,60,280,500
I-9293,150,280,400
I-9294,60,280,500
I-9295,60,280,480
I-9296,150,260,500
I-9297,150,260,400
I-9298,150,260,360
I-9299,150,240,600
I-9300,200,240,360
I-9301,150,260,560
I-9302,100,240,400
I-9303,100,260,400
I-9304,60,280,400
I-9305,60,260,560
I-9306,200,280,400
I-9307,60,260,700
I-9308,60,260,480
I-9309,60,280,400
I-9310,100,280,600
I-9311,150,240,420
I-9312,60,240,360
I-9313,100,240,480
I-9314,60,240,500
I-9315,60,240,400
I-9316,150,280,600
I-9317,60,280,480
I-9318,200,260,700
I-9319,60,280,300
I-9320,150,280,560
I-9321,200,280,700
I-9322,150,240,400
I-9323,150,260,480
I-9324,150,260,480
I-9325,200,260,700
I-9326,150,280,600
I-9327,150,280,500
I-9328,200,240,300
I-9329,200,260,700
I-9330,100,280,500
I-9331,150,260,560
I-9332,150,260,420
I-9333,60,240,360
I-9334,100,280,480
I-9335,150,240,500
I-9336,150,260,600
I-9337,100,240,560
I-9338,100,260,480
I-9339,150,280,600
I-9340,100,280,360
I-9341,60,280,500
I-9342,150,280,420
I-9343,100,240,480
I-9344,150,240,500
I-9345,100,260,420
I-9346,60,280,480
I-9347,100,240,420
I-9348,100,280,700
I-9349,200,280,360
I-9350,60,280,600
I-9351,100,280,300
I-9352,200,260,600
I-9353,60,240,420
I-9354,60,240,600
I-9355,200,260,560
I-9356,100,240,500
I-9357,200,280,600
I-9358,200,280,600
I-9359,100,240,360
I-9360,60,260,600
I-9361,150,280,560
I-9362,150,260,480
I-9363,100,260,700
I-9364,200,280,420
I-9365,200,260,700
I-9366,60,260,400
I-9367,60,240,400
I-9368,100,260,360
I-9369,150,280,300
I-9370,200,280,480
I-9371,150,260,700
I-9372,60,260,560
I-9373,60,280,600
I-9374,150,240,500
I-9375,100,260,560
I-9376,100,260,700
I-9377,200,280,560
I-9378,100,260,560
I-9379,60,280,700
I-9380,150,260,420
I-9381,150,240,560
I-9382,100,240,480
I-9383,60,260,600
I-9384,100,260,300
I-9385,150,260,700
I-9386,150,280,700
I-9387,200,280,420
I-9388,150,240,400
I-9389,100,240,560
I-9390,200,280,700
I-9391,150,240,360
I-9392,150,280,480
I-9393,100,240,420
I-9394,200,240,600
I-9395,100,280,600
I-9396,100,280,400
I-9397,150,280,560
I-9398,100,260,600
I-9399,150,240,560
I-9400,200,280,300
I-9401,200,280,560
I-9402,150,240,700
I-9403,60,280,700
I-9404,200,280,480
I-9405,150,260,400
I-9406,100,240,700
I-9407,150,280,700
I-9408,60,260,400
I-9409,100,240,600
I-9410,150,260,480
I-9411,100,280,400
I-9412,100,260,700
I-9413,60,240,700
I-9414,100,240,360
I-9415,60,260,360
I-9416,60,240,420
I-9417,200,240,480
I-9418,200,240,360
I-9419,150,240,420
I-9420,150,280,500
I-9421,150,280,560
I-9422,150,240,420
I-9423,150,260,360
I-9424,150,240,360
I-9425,60,280,700
I-9426,200,240,360
I-9427,200,260,500
I-9428,200,260,360
I-9429,200,260,400
I-9430,200,260,600
I-9431,150,240,560
I-9432,150,260,360
I-9433,150,260,700
I-9434,100,240,480
I-9435,60,280,360
I-9436,150,280,600
I-9437,60,240,360
I-9438,150,280,480
I-9439,200,260,500
I-9440,60,260,600
I-9441,100,280,300
I-9442,100,260,420
I-9443,100,260,560
I-9444,200,240,700
I-9445,150,240,420
I-9446,200,280,480
I-9447,100,280,360
I-9448,100,280,400
I-9449,60,280,360
I-9450,100,240,360
I-9451,60,260,560
I-9452,150,260,480
I-9453,60,240,700
I-9454,60,240,360
I-9455,200,240,560
I-9456,150,280,500
I-9457,200,260,400
I-9458,60,240,500
I-9459,200,260,400
I-9460,60,260,480
I-9461,200,280,300
I-9462,200,280,700
I-9463,200,240,420
I-9464,60,260,600
I-9465,100,240,420
I-9466,100,260,400
I-9467,150,240,480
I-9468,100,260,300
I-9469,60,240,360
I-9470,200,280,480
I-9471,100,280,480
I-9472,200,280,400
I-9473,60,260,700
I-9474,200,280,420
I-9475,150,240,420
I-9476,150,280,700
I-9477,150,240,300
I-9478,100,280,420
I-9479,100,260,500
I-9480,100,280,360
I-9481,200,260,560
I-9482,200,280,300
I-9483,100,280,500
I-9484,60,240,500
I-9485,60,280,700
I-9486,150,280,560
I-9487,60,260,420
I-9488,100,240,360
I-9489,60,260,300
I-9490,100,240,480
I-9491,150,240,360
I-9492,60,260,560
I-9493,100,240,360
I-9494,150,280,700
I-9495,100,280,360
I-9496,200,240,560
I-9497,100,260,360
I-9498,150,240,400
I-9499,150,240,420
I-9500,200,240,420
I-9501,60,280,360
I-9502,150,260,700
I-9503,200,240,600
I-9504,200,260,600
I-9505,100,280,400
I-9506,200,260,500
I-9507,100,280,420
I-9508,200,280,420
I-9509,200,260,560
I-9510,200,240,500
I-9511,100,240,600
I-9512,60,260,500
I-9513,200,240,480
I-9514,200,240,420
I-9515,200,280,700
I-9516,150,240,360
I-9517,60,260,500
I-9518,100,280,700
I-9519,200,280,300
I-9520,150,260,480
I-9521,100,260,600
I-9522,150,260,480
I-9523,150,280,500
I-9524,100,240,480
I-9525,150,240,700
I-9526,60,260,600
I-9527,100,260,560
I-9528,150,240,420
I-9529,60,280,500
I-9530,100,280,480
I-9531,200,240,400
I-9532,60,240,700
I-9533,60,280,480
I-9534,150,260,600
I-9535,60,260,400
I-9536,100,240,360
I-9537,150,280,560
I-9538,200,280,480
I-9539,60,280,360
I-9540,200,280,600
I-9541,150,280,700
I-9542,200,260,420
I-9543,60,280,600
I-9544,200,280,480
I-9545,60,280,500
I-9546,200,240,420
I-9547,200,260,480
I-9548,200,260,360
I-9549,150,240,300
I-9550,150,280,500
I-9551,200,260,420
I-9552,100,280,420
I-9553,60,280,560
I-9554,60,260,700
I-9555,60,260,420
I-9556,60,280,700
I-9557,100,280,700
I-9558,100,280,420
I-9559,100,280,600
I-9560,200,280,700
I-9561,200,280,300
I-9562,150,260,700
I-9563,150,280,600
I-9564,60,240,480
I-9565,200,260,300
I-9566,200,280,560
I-9567,60,240,300
I-9568,200,280,400
I-9569,200,260,560
I-9570,60,260,300
I-9571,60,260,400
I-9572,150,260,700
I-9573,100,240,560
I-9574,200,240,560
I-9575,60,240,360
I-9576,200,240,300
I-9577,200,280,420
I-9578,200,280,420
I-9579,150,260,600
I-9580,200,280,700
I-9581,100,260,700
I-9582,60,260,700
I-9583,60,280,360
I-9584,200,240,400
I-9585,100,280,420
I-9586,100,280,560
I-9587,60,240,600
I-9588,100,260,560
I-9589,100,260,480
I-9590,100,260,560
I-9591,200,280,600
I-9592,150,280,500
I-9593,200,260,360
I-9594,60,240,500
I-9595,100,260,700
I-9596,60,260,500
I-9597,60,280,700
I-9598,150,260,480
I-9599,100,260,300
I-9600,60,260,560
I-9601,150,260,700
I-9602,60,260,560
I-9603,60,280,400
I-9604,100,260,560
I-9605,150,280,480
I-9606,100,280,480
I-9607,150,280,480
I-9608,60,260,600
I-9609,150,240,500
I-9610,100,280,400
I-9611,100,240,600
I-9612,100,260,600
I-9613,150,260,420
I-9614,200,240,600
I-9615,100,280,700
I-9616,150,240,560
I-9617,60,280,360
I-9618,100,260,300
I-9619,150,240,300
I-9620,200,240,300
I-9621,60,240,700
I-9622,100,260,480
I-9623,60,280,480
I-9624,100,260,360
I-9625,150,260,600
I-9626,150,260,700
I-9627,100,280,700
I-9628,100,260,700
I-9629,60,240,420
I-9630,150,240,560
I-9631,200,240,700
I-9632,150,260,300
I-9633,100,240,480
I-9634,60,240,360
I-9635,60,260,480
I-9636,60,240,360
I-9637,100,260,360
I-9638,100,260,560
I-9639,100,240,500
I-9640,150,240,400
I-9641,150,280,600
I-9642,200,240,400
I-9643,150,260,400
I-9644,60,280,700
I-9645,60,260,360
I-9646,100,260,600
I-9647,100,260,560
I-9648,200,280,420
I-9649,60,280,560
I-9650,200,240,700
I-9651,60,260,400
I-9652,60,260,600
I-9653,60,260,400
I-9654,100,240,600
I-9655,200,280,400
I-9656,100,240,420
I-9657,150,280,420
I-9658,60,240,420
I-9659,60,240,360
I-9660,100,280,700
I-9661,100,280,600
I-9662,60,260,420
I-9663,100,260,600
I-9664,100,240,420
I-9665,100,260,480
I-9666,100,260,420
I-9667,100,260,600
I-9668,200,260,300
I-9669,60,260,360
I-9670,60,260,400
I-9671,150,240,420
I-9672,200,280,560
I-9673,60,280,500
I-9674,100,280,480
I-9675,60,260,420
I-9676,100,280,480
I-9677,150,260,400
I-9678,150,240,500
I-9679,200,240,700
I-9680,100,260,420
I-9681,150,240,700
I-9682,100,260,480
I-9683,60,280,400
I-9684,100,280,700
I-9685,200,240,560
I-9686,100,240,700
I-9687,150,280,420
I-9688,150,280,360
I-9689,200,280,560
I-9690,100,240,480
I-9691,200,280,360
I-9692,200,280,560
I-9693,150,260,300
I-9694,150,240,360
I-9695,200,240,400
I-9696,150,240,360
I-9697,200,260,700
I-9698,150,240,400
I-9699,60,260,700
I-9700,200,260,600
I-9701,200,240,700
I-9702,150,260,500
I-9703,60,280,600
I-9704,150,280,360
I-9705,60,240,480
I-9706,150,240,360
I-9707,200,260,480
I-9708,100,280,600
I-9709,200,280,600
I-9710,100,280,480
I-9711,150,240,400
I-9712,150,240,400
I-9713,150,260,360
I-9714,60,280,400
I-9715,150,280,420
I-9716,100,280,360
I-9717,200,260,600
I-9718,200,240,360
I-9719,100,260,360
I-9720,60,260,360
I-9721,200,280,560
I-9722,100,280,300
I-9723,60,240,600
I-9724,100,240,360
I-9725,200,240,500
I-9726,100,260,300
I-9727,150,240,500
I-9728,100,240,600
I-9729,60,260,300
I-9730,100,240,700
I-9731,200,280,700
I-9732,200,260,420
I-9733,60,260,560
I-9734,100,280,300
I-9735,100,240,700
I-9736,60,280,480
I-9737,60,260,420
I-9738,60,280,560
I-9739,60,280,360
I-9740,60,240,480
I-9741,60,260,400
I-9742,60,280,420
I-9743,200,240,420
I-9744,150,260,360
I-9745,100,260,500
I-9746,150,240,400
I-9747,60,260,300
I-9748,200,240,400
I-9749,60,240,560
I-9750,60,240,400
I-9751,100,240,360
I-9752,100,280,360
I-9753,200,260,480
I-9754,200,240,700
I-9755,60,260,700
I-9756,60,280,600
I-9757,100,260,300
I-9758,100,260,360
I-9759,60,260,400
I-9760,150,280,600
I-9761,100,240,500
I-9762,100,260,500
I-9763,100,240,300
I-9764,150,280,420
I-9765,60,240,560
I-9766,60,260,480
I-9767,60,240,500
I-9768,150,240,500
I-9769,200,240,360
I-9770,100,240,360
I-9771,200,240,700
I-9772,60,260,300
I-9773,60,240,300
I-9774,200,240,600
I-9775,200,240,560
I-9776,150,280,300
I-9777,150,280,600
I-9778,100,280,560
I-9779,60,260,420
I-9780,200,280,560
I-9781,100,240,480
I-9782,60,260,500
I-9783,60,240,480
I-9784,100,280,360
I-9785,200,240,500
I-9786,60,240,600
I-9787,60,280,700
I-9788,100,280,360
I-9789,200,280,700
I-9790,200,240,560
I-9791,150,260,500
I-9792,200,240,420
I-9793,200,260,420
I-9794,150,240,560
I-9795,60,240,560
I-9796,60,280,400
I-9797,150,280,300
I-9798,100,240,600
I-9799,200,240,420
I-9800,200,240,400
I-9801,150,260,400
I-9802,100,280,300
I-9803,200,240,700
I-9804,100,280,420
I-9805,200,280,400
I-9806,200,260,700
I-9807,100,260,400
I-9808,100,260,500
I-9809,100,240,700
I-9810,100,260,600
I-9811,150,240,300
I-9812,200,280,700
I-9813,100,280,600
I-9814,150,240,500
I-9815,100,260,300
I-9816,60,260,360
I-9817,200,240,700
I-9818,150,240,600
I-9819,60,240,400
I-9820,100,260,400
I-9821,150,280,360
I-9822,100,280,480
I-9823,200,260,480
I-9824,100,260,600
I-9825,150,280,700
I-9826,60,280,600
I-9827,150,260,560
I-9828,200,260,420
I-9829,200,260,300
I-9830,100,280,300
I-9831,100,280,420
I-9832,200,280,500
I-9833,60,280,400
I-9834,100,280,700
I-9835,200,260,500
I-9836,100,240,480
I-9837,150,280,300
I-9838,150,280,400
I-9839,100,260,480
I-9840,150,240,400
I-9841,100,280,400
I-9842,100,240,560
I-9843,100,260,480
I-9844,100,280,700
I-9845,60,260,360
I-9846,150,280,480
I-9847,150,280,480
I-9848,60,280,600
I-9849,100,280,360
